Name,About,Portfolio,Founders,Past Investors,Employees,Advisors,Profile Claimed,Portfolio Links,Founder Links,Investor Links,Employee Links,Advisor Links
"Balderton Capital","What Makes Us Different

We are one of the largest venture capital funds in Europe, and that means we are better positioned to support our companies for longer, with stronger resources.

Operational experience

We have founded companies, grown companies from one to thousands of employees, taken companies public in the US and in Europe bought, sold and merged companies. 

International scope

Our six investment partners come from five different countries. We all have worked in several regions of the world from Paris and London to Silicon Valley and Asia. 

Equal partnership

We function as equal partners. This means that the success of the companies we invest in provide equal benefit to all the partners, regardless of who was the direct representative of our firm on the board.

Long-term focus

Balderton’s aim is to help build long-lasting great companies. We look for the longer-term gains, and the companies with the biggest potential for sustained growth.","Friend.ly,Memrise,Recorded Future,MedicAnimal,GoCardless,Top10.com,Psykosoft,SCVNGR,Betfair,LevelUp,Daylife,Tabula,Wonga,Gemvara,MySQL,Tictail,Kupivip,Bebo,LoveFilm,carwow,Bling Nation,Icera,DisplayLink,Kalido,Wooga,","","","Roberto Bonanzinga,Harry Briggs,Rob Moffat,James Wise,Bernard Liautaud,Daniel Waterhouse,Mark Evans","",Yes,"https://angel.co/friend-ly,https://angel.co/memrise,https://angel.co/recorded-future,https://angel.co/medicanimal,https://angel.co/gocardless,https://angel.co/top10-com,https://angel.co/psykosoft,https://angel.co/scvngr,https://angel.co/betfair,https://angel.co/levelup,https://angel.co/daylife,https://angel.co/tabula,https://angel.co/wonga,https://angel.co/gemvara,https://angel.co/mysql,https://angel.co/tictail,https://angel.co/kupivip,https://angel.co/bebo,https://angel.co/lovefilm,https://angel.co/carwow,https://angel.co/bling-nation,https://angel.co/icera,https://angel.co/displaylink,https://angel.co/kalido,https://angel.co/wooga,","","","https://angel.co/bonanzinga,https://angel.co/harrybriggs,https://angel.co/robmoff,https://angel.co/jpwise,https://angel.co/bliautaud,https://angel.co/daniel-waterhouse,https://angel.co/mark-evans-5",""
"Baroda Ventures","","Fab.com,Steelhouse,Pocket Change,DogVacay,Lifecrowd,Science,Retention Science,Gradient X,Fab,Lettuce,SHIFT,Surf Air,Adomic (Formerly YieldMetrics),DSTLD ,HipSwap,Bridg","","","Peter Lee","",Yes,"https://angel.co/fab-com,https://angel.co/steelhouse,https://angel.co/pocket-change,https://angel.co/dogvacay,https://angel.co/lifecrowd,https://angel.co/science,https://angel.co/retention-science,https://angel.co/gradient-x,https://angel.co/fab,https://angel.co/lettuce,https://angel.co/shift-3,https://angel.co/surf-air,https://angel.co/adomic-formerly-yieldmetrics,https://angel.co/dstld,https://angel.co/hipswap,https://angel.co/bridg","","","https://angel.co/ptlee",""
"Battery Ventures","","Chute,Gogobot,Viddy,HotelTonight,Bazaarvoice,Chef,BladeLogic,Apsalar,Sosh,TrialPay,StellaService,Platfora,Blockboard,Friendster,Groupon,Tracelytics,Mass Relevance,Kontagent,Vulcun,Vaurum,Sprig,Continuuity,Narrative Science,Plivo,LiveIntent,","","Aloke Guha","Brian OMalley,Michael Brown,Mike Katz,Matt Garratt,Nakul Mandan,Jeff Lu,Kara Nortman,Mike Dauber,Jonathan Roosevelt,Sanjiv Kalevar,Matthew Brendzel,Evan Liang,Vik Kashyap,Alex Benik,Veeral Shah,Morad Elhafed,Greg Smithies,Jodi Sherman Jahic","",No,"https://angel.co/chute,https://angel.co/gogobot,https://angel.co/viddy,https://angel.co/hoteltonight,https://angel.co/bazaarvoice,https://angel.co/chef-2,https://angel.co/bladelogic,https://angel.co/apsalar,https://angel.co/sosh,https://angel.co/trialpay,https://angel.co/stellaservice,https://angel.co/platfora,https://angel.co/blockboard,https://angel.co/friendster,https://angel.co/groupon,https://angel.co/tracelytics,https://angel.co/mass-relevance,https://angel.co/kontagent,https://angel.co/vulcun-1,https://angel.co/vaurum,https://angel.co/sprig,https://angel.co/continuuity,https://angel.co/narrative-science-1,https://angel.co/plivo,https://angel.co/liveintent,","","https://angel.co/aloke-guha","https://angel.co/brian-omalley,https://angel.co/michael-brown,https://angel.co/mbkatz,https://angel.co/matt-garratt,https://angel.co/nakul-mandan,https://angel.co/jiffylu,https://angel.co/kara-nortman,https://angel.co/mdauber,https://angel.co/jonathan-roosevelt,https://angel.co/sanjiv-kalevar-1,https://angel.co/matthew-brendzel,https://angel.co/evanliang,https://angel.co/vik-kashyap,https://angel.co/alex-benik,https://angel.co/veeral-shah,https://angel.co/morad-elhafed,https://angel.co/greg-smithies,https://angel.co/jodi-sherman-jahic",""
"BDC Venture Capital","","Battlefy,Extreme Startups,GrowLab,Shifthub,Execution Labs,FounderFuel,Will Pwn 4 Food,InfoActive,Newtopia","","Charles Morand","Robert Simon,Michael Mahon,Charles Morand,Dominique Belanger,Maria Cuasay,Matt Roberts,Andrew Lugsdin,Amine BENMOUSSA,Shawn Salewski,John Kemp-Welch","",Yes,"https://angel.co/battlefy,https://angel.co/extremestartups,https://angel.co/growlab,https://angel.co/shifthub,https://angel.co/execution-labs,https://angel.co/founderfuel,https://angel.co/will-pwn-4-food,https://angel.co/infoactive,https://angel.co/newtopia","","https://angel.co/charles-morand","https://angel.co/rsimon,https://angel.co/mikejmahon,https://angel.co/charles-morand,https://angel.co/dominique-belanger,https://angel.co/maria-cuasay,https://angel.co/mattroberts,https://angel.co/andrew-lugsdin,https://angel.co/amine-benmoussa,https://angel.co/ssalewski,https://angel.co/john-kemp-welch",""
"Bee Partners","","Egomotion,IndieGoGo,Breezy,TubeMogul,Earbits (YC w11),Vacatia,Mobileworks,Outline,Skycatch,Magoosh,Xola,Zipongo,Preact,Enthuse,Tradesy,OrderGroove,Modify Industries,Sideqik,Enliken,Bear Naked,Pubget,Columbia Green Technologies","Michael Berolzheimer","","Garrett Goldberg,Cynthia Maxey","Michael Berolzheimer",Yes,"https://angel.co/egomotion,https://angel.co/indiegogo,https://angel.co/breezy,https://angel.co/tubemogul,https://angel.co/earbits-yc-w11,https://angel.co/vacatia,https://angel.co/mobileworks,https://angel.co/outline,https://angel.co/skycatch,https://angel.co/magoosh,https://angel.co/xola,https://angel.co/zipongo,https://angel.co/preact,https://angel.co/enthuse,https://angel.co/tradesy,https://angel.co/ordergroove,https://angel.co/modify-industries,https://angel.co/sideqik,https://angel.co/enliken,https://angel.co/bear-naked,https://angel.co/pubget,https://angel.co/columbia-green-technologies","https://angel.co/mberolzh","","https://angel.co/garrettgoldberg,https://angel.co/cynthia-maxey-1","https://angel.co/mberolzh"
"Benchmark Capital","","Uber,DotCloud,Polyvore,Asana,DogVacay,Zuora,Twitter,Pipewise,Edmodo,Game Closure,eBay,Minted,Instagram,Dropbox,Quora,Mint,Stitcher,Yelp,New Relic,Couchsurfing ,maniaTV,oDesk,Minerva Project,Zendesk,Friendster,","Andy Rachleff","Philip Rosedale,Jim Lanzone,Tony Espinoza,Larry Blair,Edward Kinsey","Matt Cohler,Daniel Hoffer,Gus Fuldner,Mark Evans,Chris Morton,Alok","Andy Rachleff",No,"https://angel.co/uber,https://angel.co/dotcloud,https://angel.co/polyvore,https://angel.co/asana,https://angel.co/dogvacay,https://angel.co/zuora,https://angel.co/twitter,https://angel.co/pipewise,https://angel.co/edmodo,https://angel.co/game-closure,https://angel.co/ebay,https://angel.co/minted,https://angel.co/instagram,https://angel.co/dropbox,https://angel.co/quora,https://angel.co/mint,https://angel.co/stitcher,https://angel.co/yelp,https://angel.co/new-relic,https://angel.co/couchsurfing-3,https://angel.co/maniatv,https://angel.co/odesk,https://angel.co/minerva-project,https://angel.co/zendesk,https://angel.co/friendster,","https://angel.co/andy-rachleff","https://angel.co/philip-rosedale,https://angel.co/jlanzone,https://angel.co/tony-espinoza-1,https://angel.co/larry-blair,https://angel.co/edward-kinsey","https://angel.co/mattcohler,https://angel.co/daniel-hoffer,https://angel.co/gusf,https://angel.co/mark-evans-5,https://angel.co/chris-morton,https://angel.co/alokv","https://angel.co/andy-rachleff"
"Bessemer Venture Partners","","Life360,The Fridge,BladeLogic,Pinterest,Zoosk,Clever,BillGuard,Piazza,LinkedIn,OMGPOP,LearnBoost,Playdom,SendGrid,Smule,Skype,Shopify,Twilio,Yelp,Offermatic,InsightSquared,Bizo,Expect Labs,CrowdFlower,Cornerstone OnDemand,Flat World Knowledge,","","","Ethan Kurzweil,David Cowan,Jeremy Levine,Sunil Nagaraj,Ambar Bhattacharyya,Jeff Epstein,Byron Deeter,Rob Stavis,Talia Goldberg,Kent Bennett,Douglas Romanoff,Anna Khan,Shashank P S,Kristina Shen,Rafi Syed,Christopher Perusse,Umesh Padval","",Yes,"https://angel.co/life360,https://angel.co/the-fridge,https://angel.co/bladelogic,https://angel.co/pinterest,https://angel.co/zoosk,https://angel.co/clever,https://angel.co/billguard,https://angel.co/piazza,https://angel.co/linkedin,https://angel.co/omgpop,https://angel.co/learnboost,https://angel.co/playdom,https://angel.co/sendgrid-1,https://angel.co/smule,https://angel.co/skype,https://angel.co/shopify,https://angel.co/twilio,https://angel.co/yelp,https://angel.co/offermatic,https://angel.co/insightsquared,https://angel.co/bizo,https://angel.co/expect-labs,https://angel.co/crowdflower,https://angel.co/cornerstone-ondemand,https://angel.co/flat-world-knowledge,","","","https://angel.co/ethankurz,https://angel.co/davidcowan,https://angel.co/jeremyl,https://angel.co/sunil-nagaraj,https://angel.co/ambarbh,https://angel.co/jeepstein,https://angel.co/bdeeter,https://angel.co/rob-stavis,https://angel.co/taliagold,https://angel.co/kent-bennett,https://angel.co/douglas-romanoff,https://angel.co/annarchyy,https://angel.co/shashank-p-s,https://angel.co/kristina-shen,https://angel.co/rafi-1,https://angel.co/cperusse,https://angel.co/umesh-padval",""
"Betaworks","","Tumblr,Backupify,UserVoice,ShowMe,Covestor,just.me,SocialFlow,Bondsy,gdgt,Hot Potato,Twitter,OMGPOP,Digg,Highlight,Dailybooth,Tweetdeck,Venmo,Couple,Kickstarter,GroupMe,Songkick,Path,Onswipe,Rap Genius,Everlane,","John Borthwick","Scott Heiferman,Josh Stylman,Peter Hershberg,Howard Lindzon,Mike Brown Jr,Alain Bankier,Eric Paley,Nikhil Kalghatgi,Adrian Aoun,Adam D. Smith,Eghosa Omoigui,Mike Buckley,Eric Wiesen,Christian Hernandez,Taavet Hinrikus,John Henderson,Seth Goldstein,Christine Herron,Eric Martineau-Fortin,David Szekely,Rob Wiesenthal,Paul Vidich,Pooj Preena,Gordon Crovitz,Mathias Schilling,James D Robinson,Stuart Ellman,Jordan Levy,Dominic Becotte","Nicholas Chirls,John Borthwick,Paul Murphy,Tony Haile,Joshua Auerbach,Lexi Lewtan,Sahadeva Hammari,Andrew McLaughlin,Tim Devane,Alex Kolundzija,Jake Levine,Jason Morrow,Sam Mandel","John Borthwick",Yes,"https://angel.co/tumblr,https://angel.co/backupify,https://angel.co/uservoice,https://angel.co/showme,https://angel.co/covestor,https://angel.co/just-me,https://angel.co/socialflow,https://angel.co/bondsy,https://angel.co/gdgt,https://angel.co/hot-potato,https://angel.co/twitter,https://angel.co/omgpop,https://angel.co/digg,https://angel.co/highlight-1,https://angel.co/dailybooth,https://angel.co/tweetdeck,https://angel.co/venmo,https://angel.co/couple,https://angel.co/kickstarter,https://angel.co/groupme,https://angel.co/songkick,https://angel.co/path,https://angel.co/onswipe,https://angel.co/rap-genius,https://angel.co/everlane,","https://angel.co/john-borthwick","https://angel.co/heif,https://angel.co/jstylman,https://angel.co/hershberg,https://angel.co/howardlindzon,https://angel.co/mikebrownjr,https://angel.co/alain-bankier,https://angel.co/epaley,https://angel.co/nikhilkal,https://angel.co/adrian-aoun,https://angel.co/adam,https://angel.co/eghosao,https://angel.co/mike-buckley,https://angel.co/ewiesen,https://angel.co/christianhern,https://angel.co/taavet,https://angel.co/hendo,https://angel.co/seth,https://angel.co/christine,https://angel.co/eric-martineau-fortin,https://angel.co/david-szekely,https://angel.co/wiesenthal,https://angel.co/paulvidich,https://angel.co/pooj-preena,https://angel.co/crovitz,https://angel.co/mathias-schilling,https://angel.co/jdrive,https://angel.co/stuart-ellman,https://angel.co/jordalev,https://angel.co/dombecotte","https://angel.co/nchirls,https://angel.co/john-borthwick,https://angel.co/paul-murphy-1,https://angel.co/arctictony,https://angel.co/auerbach,https://angel.co/lexi-lewtan,https://angel.co/sahadeva,https://angel.co/andrew-mclaughlin,https://angel.co/tim-devane,https://angel.co/akrs,https://angel.co/jrlevine,https://angel.co/jason_morrow,https://angel.co/sammandel","https://angel.co/john-borthwick"
"Birchmere Ventures","","Peloton Technology","","","Sean Ammirati,Ned Renzi,Mark Platshon","",No,"https://angel.co/peloton-technology","","","https://angel.co/seanammirati,https://angel.co/nedrenzi,https://angel.co/mark-platshon",""
"Bloomberg Beta","","AngelList,Codecademy,Homebrew,Errplane,Layer; Inc.,Nodejitsu,Newsle,MkII Ventures,ProsperWorks,Context Relevant","","","Roy Bahat,James Cham,Karin Klein,Shivon Zilis,Dan Strickland","",Yes,"https://angel.co/angellist,https://angel.co/codecademy,https://angel.co/homebrew-1,https://angel.co/errplane,https://angel.co/layer-inc,https://angel.co/nodejitsu,https://angel.co/newsle,https://angel.co/mkii-ventures,https://angel.co/prosperworks,https://angel.co/context-relevant-1","","","https://angel.co/roybahat,https://angel.co/jamescham,https://angel.co/karin-klein,https://angel.co/shivon-zilis,https://angel.co/strickland_dan",""
"BlueRun Ventures","","Slide,Thumb,Foodspotting (Part of OpenTable),Chomp,Radius,Topsy,Payvment,Like.com,PayPal,Kabbage,140 Proof,Zivity,Location Labs,AppRedeem,Verve Wireless,Varolii,Netli,Waze,Deeya Energy,PPLive,NexPlanar,bTendo,Zmanda,Motally,Fusionone,","","Jeff Tannenbaum","Jonathan Ebinger,Jeff Tannenbaum,Jay Jamison,Pete Buhl,Andrew Thornborrow,John Malloy,Tianyu (Terry) Zhu","",Yes,"https://angel.co/slide,https://angel.co/thumb,https://angel.co/foodspotting-part-of-opentable,https://angel.co/chomp,https://angel.co/radius-4,https://angel.co/topsy,https://angel.co/payvment,https://angel.co/like-com,https://angel.co/paypal,https://angel.co/kabbage,https://angel.co/140-proof,https://angel.co/zivity,https://angel.co/location-labs,https://angel.co/appredeem,https://angel.co/verve-wireless,https://angel.co/varolii,https://angel.co/netli,https://angel.co/waze,https://angel.co/deeya-energy,https://angel.co/pplive,https://angel.co/nexplanar,https://angel.co/btendo,https://angel.co/zmanda,https://angel.co/motally,https://angel.co/fusionone,","","https://angel.co/getjeffnow","https://angel.co/jebinger,https://angel.co/getjeffnow,https://angel.co/jjamison,https://angel.co/pete-buhl,https://angel.co/athornborrow,https://angel.co/jmalloy,https://angel.co/tianyu-terry-zhu",""
"Blumberg Capital","","CarWoo!,Mertado,Ellie,BringIt,isocket,Merchant Atlas,Parse.ly,Appboy,Kreditech,Lenddo,DoubleVerify,ZipZap,Nutanix,1-Page ,mygola.com,Sweepery,Paidpiper,Litescape,Madvertise,Legolas Media,yap.TV,Damballa,Nolio,BrainRush,Siperian,","","Matt Bornstein","Bipul Sinha,David Blumberg,Jon Soberg,Bruce Taragin,Christopher Gottschalk,Adrian Vanzyl,Misha Chellam,Ryan Bloomer,Matt Bornstein,John Dinusson","",No,"https://angel.co/carwoo-1,https://angel.co/mertado,https://angel.co/ellie,https://angel.co/bringit,https://angel.co/isocket,https://angel.co/merchant-atlas,https://angel.co/parse-ly,https://angel.co/appboy,https://angel.co/kreditech,https://angel.co/lenddo,https://angel.co/doubleverify,https://angel.co/zipzap,https://angel.co/nutanix,https://angel.co/1-page,https://angel.co/mygola-com,https://angel.co/sweepery,https://angel.co/paidpiper-1,https://angel.co/litescape,https://angel.co/madvertise,https://angel.co/legolas-media,https://angel.co/yap-tv,https://angel.co/damballa,https://angel.co/nolio,https://angel.co/brainrush,https://angel.co/siperian,","","https://angel.co/matt-bornstein","https://angel.co/bipulsinha,https://angel.co/davidblumberg,https://angel.co/jpsoberg,https://angel.co/brucetaragin,https://angel.co/christopher-gottschalk,https://angel.co/adrianvanzyl,https://angel.co/mishachellam,https://angel.co/ryan-bloomer,https://angel.co/matt-bornstein,https://angel.co/john-dinusson",""
"Blume Ventures","","TripVillas,Instamojo,tushky.com,ZipDial,Aurality,Exotel,ShepHertz,Framebench,Clink,HomeVeda Media Labs,Mettl.com","","Rana Kashyap,Rishi Khanna","Karthik Reddy,Adit Parekh,Sanjay Nath","",Yes,"https://angel.co/tripvillas,https://angel.co/instamojo-1,https://angel.co/tushky-com,https://angel.co/zipdial,https://angel.co/aurality,https://angel.co/exotel,https://angel.co/shephertz-5,https://angel.co/framebench,https://angel.co/clink-4,https://angel.co/homeveda-media-labs,https://angel.co/mettl-com","","https://angel.co/rana-kashyap,https://angel.co/rishi-khanna","https://angel.co/karthik-reddy,https://angel.co/aditparekh,https://angel.co/sanjaynath",""
"boldstart ventures","","GoInstant,Rapportive,ThinkNear,ShowMe,Yipit,Divide,Karma,Localresponse,IndieGoGo,TrulyWireless,DoodleDeals,Zillabyte,PlayHaven,Plain Vanilla Games,Kanvas,dunwello,ooomf,Preact,Yhat,Blaze.io,Handshake,Coherent Path,klipfolio","Eliot Durbin,Ed Sim","Eliot Durbin,Zachary Aarons","Matt Robinson","Eliot Durbin,Ed Sim",Yes,"https://angel.co/goinstant,https://angel.co/rapportive,https://angel.co/thinknear,https://angel.co/showme,https://angel.co/yipit,https://angel.co/divide,https://angel.co/karma,https://angel.co/localresponse,https://angel.co/indiegogo,https://angel.co/trulywireless,https://angel.co/doodledeals,https://angel.co/zillabyte,https://angel.co/playhaven,https://angel.co/plain-vanilla-games,https://angel.co/kanvas,https://angel.co/dunwello,https://angel.co/ooomf,https://angel.co/preact,https://angel.co/yhat,https://angel.co/blaze-io,https://angel.co/handshake,https://angel.co/coherent-path,https://angel.co/klipfolio","https://angel.co/etdurbin,https://angel.co/edsim","https://angel.co/etdurbin,https://angel.co/zachaarons","https://angel.co/matt-robinson","https://angel.co/etdurbin,https://angel.co/edsim"
